ab1,ab2,weight
2183,5261,0.241567056322959
2183,4386,0.242669565847022
2183,2729,0.270664530706178
2183,5545,0.259746610034395
2183,2438,0.268757890181936
2278,4565,0.248930677932849
2278,3371,0.261745349932312
2278,4639,0.335428392294817
2278,2438,0.256440319113781
338,2883,0.255105295664598
338,5258,0.270373273352586
3180,1116,0.250322361337135
3486,2394,0.241530842902352
4314,3001,0.245587434792631
4314,935,0.255980307830039
4314,4382,0.26618346263936
4314,605,0.264162490821244
4314,3047,0.25278118239307
357,356,0.240099293282856
357,2192,0.242147090727412
357,937,0.262820124003543
357,3296,0.277392893665692
357,5480,0.274467198168401
357,2780,0.313270707331939
357,1129,0.24587101972352
357,2777,0.252940490844346
2344,934,0.316100926948292
2344,1081,0.250763606782001
2344,5261,0.244452442346636
2344,5651,0.245889096333966
2344,2346,0.302982582113418
2344,4386,0.251236623843973
2344,941,0.246926465634454
2344,3396,0.336585337938887
2344,1137,0.293075290075834
2344,1028,0.285605142879631
2344,915,0.359004021208085
2344,2279,0.250539460212674
2344,3264,0.265911032352115
2344,5545,0.285709230520652
2344,3296,0.259273827564786
2344,2345,0.266797332770823
2344,5582,0.269985469028266
2344,3047,0.241905578205619
2344,3993,0.256934986003345
2344,3388,0.298256531026957
2344,4971,0.24084420934982
2344,952,0.277870391509335
4565,3371,0.278231871985098
4565,3141,0.258676038120114
4565,4639,0.264946010626305
4565,44,0.280443363214516
4565,4447,0.281471120962984
4565,2386,0.24494219024281
4565,1207,0.25158268638391
4565,3138,0.250882306913358
4565,2276,0.276369751935965
4565,2902,0.251531181484898
4565,1218,0.253010946915983
4565,2387,0.281855626395921
4565,3265,0.271117934888377
4565,50,0.251012145742257
4565,3477,0.323192064443727
4565,5237,0.241654872022073
1932,3162,0.260288155043141
1932,4166,0.287480880788494
1932,807,0.261837143287206
1932,402,0.249493055790944
1932,1191,0.241355634941447
2112,934,0.242186349373623
2112,2076,0.251367516065894
2112,5258,0.249815175472838
3001,4914,0.244094129590127
3001,3047,0.286256458501132
3001,270,0.247381075880134
2321,5545,0.251279317446368
4354,413,0.34635835499827
4354,1028,0.252746014033526
3371,2188,0.273801425581094
3371,5583,0.252077145834285
3371,4748,0.242412469379333
3371,2387,0.274428205975167
3371,4258,0.247388352906764
938,2188,0.286147890871437
938,934,0.241473112749294
938,3897,0.314872429635315
938,4639,0.302437011184052
938,3025,0.258996538215437
938,2343,0.277229889301704
938,935,0.246385533311216
938,933,0.249707799301111
938,2076,0.244154689782287
938,5567,0.250668673578608
938,5259,0.263199366988442
938,3258,0.272477266032604
938,2883,0.249014569014494
938,5607,0.303016294187352
938,1028,0.240199814757754
938,915,0.263581895561998
938,3387,0.278526503017363
938,4315,0.263053098352845
938,4,0.24827732105255
938,2345,0.243342833619716
938,605,0.28059274007551
938,3047,0.263631195670503
938,3993,0.274251314728681
938,2438,0.341334047406517
938,3402,0.26205349868245
938,4400,0.252002494727131
1204,44,0.245543101050487
1204,1116,0.274076425381854
1204,3147,0.260070841542848
1204,2902,0.243469641936345
2188,2573,0.243786230582623
2188,3025,0.271186639114154
2188,935,0.27682118983391
2188,905,0.241024417357271
2188,2346,0.259423250375708
2188,5607,0.33376525458668
2188,4377,0.246145833125276
2188,1028,0.261109007950641
2188,605,0.24640272751432
2188,3047,0.266748525832056
2188,2322,0.257854402539728
2188,4258,0.319824756773338
2188,2438,0.248116464192516
934,2573,0.254602870511459
934,4432,0.282766416171982
934,4639,0.308550124900691
934,935,0.24481808040042
934,4457,0.241412565043667
934,2076,0.287400056325283
934,2346,0.299634914610157
934,5259,0.288304585672816
934,4447,0.343760181250153
934,3258,0.275411850747973
934,2883,0.269729794853185
934,3396,0.247427359569247
934,1037,0.248820046464535
934,5607,0.242439419442272
934,1137,0.280657584547328
934,915,0.266139790232789
934,3239,0.297828134281478
934,3147,0.253020618633832
934,1039,0.270247366379823
934,3387,0.251760501861798
934,4428,0.286601557351721
934,2774,0.269334182475633
934,995,0.264492892937296
934,5545,0.259511466273864
934,2276,0.25745380748401
934,3296,0.279201757586602
934,2345,0.241017211819617
934,2393,0.261548362859748
934,605,0.24192396102416
934,2902,0.271757352408346
934,5598,0.247488067851061
934,4748,0.266875992192609
934,3388,0.269890174712245
934,4999,0.286648870998612
934,3265,0.296884117028378
934,5258,0.274553379695001
934,3251,0.27114103144386
934,2438,0.240057653205261
934,3477,0.250103757230778
934,5237,0.275218372449495
5645,935,0.271383160092463
5645,5651,0.290847485893641
5645,5259,0.281761447609054
5645,2443,0.298184847862939
5645,1137,0.259983253485842
5645,3264,0.309332643203635
5645,2774,0.259420044423445
5645,937,0.290731060804198
5645,5245,0.302349636995952
5645,2438,0.25318697490823
2573,3897,0.25549395761996
2573,4457,0.302784827306268
2573,5567,0.24040392001589
2573,5259,0.27887864617887
2573,2729,0.261730337224716
2573,3239,0.252218933665005
2573,1039,0.333865204720167
2573,4382,0.268704245034195
2573,5545,0.263483121666324
2573,2438,0.263748080734093
3438,4330,0.277696949339046
4432,4639,0.25312176610687
4432,5259,0.242908228444588
4432,4428,0.310041825846993
4432,3388,0.25375570175779
4432,4536,0.247671895845139
4432,3402,0.262867090469627
4432,952,0.250416775066508
4172,1965,0.249358604528235
4172,4914,0.252894642393267
4172,2047,0.289307783472952
3820,3813,0.241531260182792
3141,44,0.314738190663852
3141,1207,0.341821420179383
3141,1191,0.257880075491552
2402,2399,0.25033931663349
1055,940,0.241623187678306
1055,4428,0.250842228548073
1055,605,0.252676200516422
1055,3047,0.247104637395396
1081,3025,0.241281480820976
1081,935,0.244094014258487
1081,2731,0.302989093861431
1081,5259,0.265093241634982
1081,2274,0.24508569243136
1081,2883,0.281652618515869
1081,1028,0.469642298056622
1081,937,0.241849382597804
1081,3296,0.264261370764736
1081,5008,0.249515350392122
1081,1435,0.263997079333088
1081,5582,0.24741235045029
1081,3047,0.285995310197812
1081,4748,0.272678341383497
1081,3993,0.244383398192424
1081,5387,0.258067899850954
1081,1038,0.24773854657228
4083,4639,0.266733028138234
4083,5607,0.241288264611186
4083,3296,0.248748136998111
4083,5582,0.240373221768473
4083,5480,0.270491652181891
4083,2438,0.255073322776838
5261,2731,0.286823846943942
5261,2346,0.268421748089575
5261,4386,0.263841851788802
5261,941,0.313432295315061
5261,2883,0.307143629679411
5261,5607,0.275586466906152
5261,1137,0.249542900068933
5261,1028,0.311337913811211
5261,1391,0.261759419011265
5261,1928,0.254378695134579
5261,1435,0.25004020109999
5261,3047,0.263803959309841
5261,5383,0.274016782094493
5261,270,0.30845260115449
5261,1117,0.242045979767171
5261,5239,0.253080334206439
2962,3143,0.251308295945064
2962,4166,0.264947199795048
2962,642,0.25862913040005
3897,2076,0.333360656493671
3897,5567,0.249074319935926
3897,5607,0.257734359213144
4290,2343,0.250901022083225
1965,4166,0.243647132207375
1965,3061,0.250006625507888
1965,1928,0.240918202794874
1965,2399,0.307346187820782
4639,905,0.240665415835755
4639,2346,0.289831268624192
4639,5259,0.263884581253103
4639,4447,0.262860823054704
4639,3258,0.278286625685188
4639,1077,0.241995277637904
4639,915,0.268327141599674
4639,4428,0.286825385674234
4639,2774,0.258674386229028
4639,937,0.262650770652
4639,5545,0.247936103615907
4639,2345,0.243771311749063
4639,605,0.254850554621864
4639,2902,0.272392697802961
4639,3047,0.253581106625106
4639,3477,0.25316480739104
4639,5237,0.265392570856363
60,2339,0.260775193561902
60,3044,0.245068871567443
60,44,0.258182888940868
60,1207,0.25222287825336
2794,356,0.291436171232857
2794,1207,0.251608257345631
2794,2792,0.263184499019936
2794,2780,0.258360171456873
2794,2777,0.3137242033074
3025,4428,0.244881736486738
4632,915,0.260598908063231
4632,2322,0.253055654638094
2343,4315,0.253074861940236
3237,5545,0.241346071504254
2270,2274,0.261281431857925
2270,198,0.270690804362695
2270,5545,0.249690535698046
2270,3691,0.274895066547737
2270,5387,0.260149745369168
935,5651,0.252255980629747
935,5259,0.308768611213493
935,3258,0.254578233628138
935,2729,0.248205476355193
935,1077,0.246101255325784
935,940,0.244984014781823
935,2443,0.253811641537086
935,3239,0.266873803498493
935,5545,0.324656088371762
935,605,0.268452134600989
935,4748,0.242915989074733
935,4105,0.280939618266778
935,3265,0.2569196917593
935,3710,0.244845238470676
935,3402,0.251925620961613
933,3258,0.31938151372144
933,915,0.282509798083312
933,3264,0.26855339091474
933,5545,0.251336562741692
933,3265,0.262390347691579
933,2438,0.285743245579907
4457,5651,0.24242872637539
4457,5206,0.241875851442927
4457,4447,0.248848912987565
4457,941,0.252335058879043
4457,2443,0.240059539902405
4457,1137,0.272934782220962
4457,1028,0.251756896554022
4457,4428,0.269166762576224
4457,5545,0.2443337274601
4457,3296,0.264127251283265
4457,3993,0.273426602256294
4457,2281,0.248597683309307
3825,2346,0.275455027406075
3885,5206,0.24115439598224
3885,2883,0.253980575681745
3885,3993,0.240914415308121
356,2192,0.270099863127755
356,4027,0.248784382459469
356,1207,0.271966807952343
356,61,0.243307668209414
356,2779,0.248240945332768
356,3061,0.249095728482916
356,1191,0.251159859549517
356,2780,0.240414679112913
356,1117,0.249016904000588
356,5237,0.241774964043059
2076,5545,0.24674453012582
4169,3011,0.263186636428477
4169,3061,0.268735443924248
1912,3147,0.248519282301562
1912,807,0.251906271811866
